Item,Retail.Price,Unit.Cost
Rothco Nato Canvas Medic Messenger Bag - Messenger Bags,17.08,13.44
Anyi Lu Women's Athena Dress Sandal - Platforms & Wedges,318.75,236.56
Stephen Joseph Quilted Backpack - Kids' Backpacks,38.19,36.33
Timex Men's Classics watch #T2H661 - Wrist Watches,49.95,39.03
Persol PO 2747 Sunglasses - Sunglasses,136.04,125.54
FRYE Bella Large Satchel - Clutches,19.41,14.16
School Bus Navy Blue Microfiber Tie - Neckties,25.50,21.56
3D Dragon Belt Buckle - Belt Buckles,12.74,10.10
Wild West Poker Belt Buckle - Belt Buckles,9.74,9.33
Shark Tooth Necklace - Necklaces,10.95,9.62
Checkbook and Credit Card Holder - Wallets,11.49,9.67
Mens wallet hipster type - Wallets,7.98,7.33
Mens Leather Zippered Wallet - Wallets,11.99,9.84
ID holder With wallet - Wallets,7.89,6.22
Unisex Wallet - Wallets,11.99,11.45
Checkbook Holder - Wallets,8.39,7.76
Three Row Grommets Fashion Jean Belt - Belts,11.99,10.26
Snap On Trucker Girl Studded Belt - Belts,10.18,8.95
kate spade new york Cobble Hill Mylie - Shoulder Bags,21.09,19.63
Casio Men's Leather watch - Wrist Watches,3.99,3.76
Casio Women's Dress watch #LTP1094E1A - Wrist Watches,19.95,17.50
Casio Women's Dress watch #LTP1094E7A - Wrist Watches,2.39,1.82
Casio Women's Dress watch #LTP1094Q7A - Wrist Watches,18.95,15.68
Ankh Brass Small (FANKS) - Jewelry,12.43,11.37
Invicta Men's Ocean Ghost II 7039 - Wrist Watches,13.99,11.11
Yellow Box Florence Slingback - Pumps,53.99,45.27
Sanuk Women's Scribble Flat - Flats,60.00,51.72
Ladies Braided Woven Belt - Belts,13.89,10.87
Easy Spirit Women's Lena Mary Jane Flat - Flats,42.40,32.82
Augusta Sportswear Nylon Sport Bag - Sports Duffels,9.19,7.32
Annie Shoes Women's Allison - Heeled Sandals,49.99,47.66
Annie Women's Maka Matte - Heeled Sandals,49.95,44.77
Fleur De Lis Rhinestone Belt Buckle - Belt Buckles,16.53,12.61
Magic Kid's Trendy Army Cap - Hats & Caps,14.99,13.59
Rhinestone Cross Belt Buckle - Belt Buckles,16.53,12.50
Disney Bambi Checkbook Wallet - Wallets,12.75,9.63
Fox Men's Leather Bifold Wallet - Wallets,31.35,25.23
Joe Rodeo Classic JCL19 Diamond watch - Wrist Watches,606.00,470.44
Dan Post Kids Shane Boot - Boots,19.20,15.65
NBA Happy Feet Infant Baby Slippers - Slippers,15.00,10.84
Plain Oval Peace Sign Belt Buckle - Belt Buckles,15.28,11.12
Port Authority Urban Backpack - Casual Daypacks,33.10,27.49
daniblack Women's Nan Slingback Pump - Pumps,39.99,31.68
Ogio 2015 Half Dome Duffel Bag - Travel Duffels,21.75,17.24
CATS Animal Ties - Neckties,19.99,18.54
PARROT Birds Ties - Neckties,18.95,14.31
Ladies real leather wallet - Wallets,12.98,10.43
Unisex Weekender Watch - Wrist Watches,84.95,75.10
Pleaser Demonia Men's Engineer Boot - Boots,159.95,143.03
9558 Vintage Paratrooper Shoulder Bag - Shoulder Bags,30.99,26.66
Invicta Men's Swiss Speedway 7029 - Wrist Watches,7.99,7.58
Invicta Men's Ocean Ghost II 7037 - Wrist Watches,14.99,12.25
Buxton Hailey Super Wallet - Wallets,2.85,2.35
Buxton Ultimate Double Zip Organizer - Wallets,27.98,25.30
Kwik Goal Match Play Ball Bag - Sports Duffels,32.06,26.42
Caravelle Crystal Women's Watch 45L98 - Wrist Watches,7.99,6.12
Costa Del Mar Harpoon Sunglasses - Sunglasses,205.33,185.06
FLAG ties Neckties by Three Rooker - Neckties,18.95,16.35
The Thinker Necktie Art Roden Neck Tie - Neckties,18.95,18.04
Clarks Women's Mallo Sandals BLACK 7 - Sandals,7.44,5.51
Florsheim Men's Covden Lace Up - Oxfords,99.00,80.41
Persol Sunglasses (PO0714) Acetate - Sunglasses,152.65,122.73
Thanksgiving TIES Turkeys Neckties - Neckties,18.95,14.46
Basil Blossom Postmenbag 17187 12L Pink - Messenger Bags,39.99,32.64
Rafe Women's 102658 Coco Platform Wedge - Platforms & Wedges,59.97,55.87
Coloriffics Women's Gala Pump - Pumps,36.72,34.78
VonZipper Clutch Rectangular Sunglasses - Sunglasses,100.00,88.18
Annie Shoes Women's Lola - Heeled Sandals,50.95,45.49
Ellie Shoes Women's 5 Inch Heel Pump - Pumps,33.78,27.46
Port & Company Knit Cap CP90 - Hats & Caps,7.49,6.01
BareTraps Women's 'Susanna' Riding Boot - Boots,36.95,34.54
Cudas Men's Amigo Thong Sandal - Sandals,12.43,10.38
St. Patrick's Day Long Tie - Neckties,11.49,10.49
Gateway Men's Simple Line Tuxedo Shoe - Oxfords,54.95,51.84
Black and White Disney Cars Umbrella - Umbrellas,13.76,12.57
Faberge Style Egg - Brooches & Pins,150.00,135.54
Expandable 26" Travel Duffel - Travel Duffels,8.53,7.55
Battery Maxell LR44 Fits Flitedeck - Wrist Watches,3.54,3.28
